site,kpcofgs,samples_sent,matches,percent_match,common_name
NVP4,"Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales",4,66,98.725,
NVP4,"Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix",1,39,99.7,
NVP4,"Eukaryota, Euglenozoa, Euglenida, Euglenales, unk_family, Colacium",1,16,99.7,
NVP4,"Eukaryota, Streptophyta, Zygnemophyceae, Desmidiales, Closteriaceae, Closterium, Closterium baillyanum",1,24,100,
NVP4,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",4,60,98.575,
NVP4,"Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus",1,11,99.1,
NWP,Eukaryota,1,15,90.7,eucaryotes
NWP,"Eukaryota, Bacillariophyta, Bacillariophyceae",5,235,96.52,
NWP,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae",9,301,97.93333333333334,
NWP,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, Nitzschia",1,9,99.7,
NWP,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales",2,28,98.35,
NWP,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Amphipleuraceae, Halamphora",6,314,96.8,
NWP,"Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Sellaphoraceae, Sellaphora",1,14,98.2,
NWP,"Eukaryota, Bacillariophyta, Coscinodiscophyceae",11,260,99.1,centric diatoms
NWP,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales",2,47,95.65,
NWP,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, Thalassiosiraceae, Thalassiosira, Thalassiosira pseudonana",1,810,100,
NWP,"Eukaryota, Chlorophyta, Chlorophyceae, Sphaeropleales, Selenastraceae",1,11,96.7,
NWP,"Eukaryota, Chlorophyta, Trebouxiophyceae, unk_order, unk_family, Choricystis, Choricystis parasitica",1,15,97.3,
NWP,"Eukaryota, Euglenozoa, Euglenida, Euglenales, unk_family, Colacium",3,40,97.4,
NWP,"Eukaryota, Haptista, Haptophyta, Prymnesiales, Chrysochromulinaceae, Chrysochromulina",1,15,91.6,
NWP,"Eukaryota, unk_phylum, Cryptophyceae",8,786,95.6125,cryptomonads
NWP,"Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas",2,73,99.1,
NWP,"Eukaryota, unk_phylum, Dictyochophyceae, Pedinellales, unk_family, Pseudopedinella, Pseudopedinella elastica",1,11,92.8,
NWP,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",14,4865,97.38571428571429,
NWP,"Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus",2,29,97.9,
NWP,"Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema",1,47,99.4,
PIER,"Bacteria, Cyanobacteria",5,371,95.14,blue-green algae
PIER,"Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus",7,346,98.71428571428572,
PIER,"Eukaryota, Bacillariophyta",9,826,97.13333333333334,diatoms
PIER,"Eukaryota, Bacillariophyta, Coscinodiscophyceae",3,245,97.8,centric diatoms
PIER,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Chaetocerotales, Chaetocerotaceae, Chaetoceros",3,84,98.10000000000001,
PIER,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Chaetocerotales, Chaetocerotaceae, Chaetoceros, Chaetoceros sp. 19 LG-2014",1,32,98.5,
PIER,"Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales",3,64,99.2,
PIER,"Eukaryota, Chlorophyta, Mamiellophyceae, Mamiellales, Mamiellaceae, Mamiella, Mamiella gilva",1,10,100,
PIER,"Eukaryota, Chlorophyta, Mamiellophyceae, Mamiellales, Mamiellaceae, Micromonas",1,8,100,
PIER,"Eukaryota, Chlorophyta, Ulvophyceae, Ulvales, Ulvaceae, Ulva",1,9,100,
PIER,"Eukaryota, Haptista, Haptophyta, Isochrysidales, Isochrysidaceae",1,12,97.3,
PIER,"Eukaryota, Haptista, Haptophyta, Prymnesiales, Chrysochromulinaceae, Chrysochromulina",1,10,98.5,
PIER,"Eukaryota, unk_phylum, Dictyochophyceae, Dictyochales, unk_family, Dictyocha, Dictyocha speculum",1,12,96.4,
PIER,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",11,694,96.50909090909092,
VP1,"Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc",1,12,100,
VP1,Eukaryota,1,10,85,eucaryotes
VP1,"Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae",1,13,99.1,
VP1,"Eukaryota, Chlorophyta, Chlorophyceae, Chaetophorales, Chaetophoraceae, Coccobotrys, Coccobotrys verrucariae",1,12,99.4,
VP1,"Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales",1,11,97.9,
VP1,"Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales, Chlamydomonadaceae",1,21,97.6,
VP1,"Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix",7,492,89.61428571428571,
VP1,"Eukaryota, Chlorophyta, Trebouxiophyceae, Chlorellales, Chlorellaceae",1,9,96.4,
VP1,"Eukaryota, Euglenozoa, Euglenida, Euglenales, Euglenaceae, Euglena",2,23,96.25,
VP1,"Eukaryota, Streptophyta, Zygnemophyceae",1,8,100,
VP1,"Eukaryota, unk_phylum, Cryptophyceae",5,243,96.1,cryptomonads
VP1,"Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, Cryptomonas sp. CNUCRY 75",1,13,98.8,
VP1,"Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae",2,22,96.85,
VP1,"Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus",10,482,96.55,
VP1,"Eukaryota, unk_phylum, Phaeophyceae",3,74,93.2,brown algae
VP1,"Eukaryota, unk_phylum, Synurophyceae, Synurales, Mallomonadaceae",1,9,89.2,
VP1,"Eukaryota, unk_phylum, Synurophyceae, Synurales, Mallomonadaceae, Mallomonas",1,13,98.5,
